time,amps
02/01/19 04:31:33 PM,
02/01/19 04:32:30 PM,37.5708
02/01/19 04:32:33 PM,
02/01/19 04:33:30 PM,37.8866
02/01/19 04:33:33 PM,
02/01/19 04:34:30 PM,37.9324
02/01/19 04:34:33 PM,
02/01/19 04:35:30 PM,37.6516
02/01/19 04:35:33 PM,
02/01/19 04:36:30 PM,37.8775
02/01/19 04:36:33 PM,
02/01/19 04:37:30 PM,37.9706
02/01/19 04:37:33 PM,
02/01/19 04:38:30 PM,37.7966
02/01/19 04:38:33 PM,
02/01/19 04:39:30 PM,37.9294
02/01/19 04:39:33 PM,
02/01/19 04:40:30 PM,37.9049
02/01/19 04:40:33 PM,
02/01/19 04:41:30 PM,37.763
02/01/19 04:41:33 PM,
02/01/19 04:42:30 PM,38.0056
02/01/19 04:42:33 PM,
02/01/19 04:43:30 PM,37.9477
02/01/19 04:43:33 PM,
02/01/19 04:44:30 PM,37.7859
02/01/19 04:44:33 PM,
02/01/19 04:45:30 PM,37.8164
02/01/19 04:45:33 PM,
02/01/19 04:46:30 PM,37.7707
02/01/19 04:46:33 PM,
02/01/19 04:47:30 PM,37.7569
02/01/19 04:47:33 PM,
02/01/19 04:48:30 PM,37.6074
02/01/19 04:48:33 PM,
02/01/19 04:49:30 PM,38.027
02/01/19 04:49:33 PM,
02/01/19 04:50:30 PM,37.8958
02/01/19 04:50:33 PM,
02/01/19 04:51:30 PM,37.8103
02/01/19 04:51:33 PM,
02/01/19 04:52:30 PM,37.9217
02/01/19 04:52:33 PM,
02/01/19 04:53:30 PM,37.8271
02/01/19 04:53:33 PM,
02/01/19 04:54:30 PM,37.8775
02/01/19 04:54:33 PM,
02/01/19 04:55:30 PM,37.673
02/01/19 04:55:33 PM,
02/01/19 04:56:30 PM,37.8119
02/01/19 04:56:33 PM,
02/01/19 04:57:30 PM,0.0275
02/01/19 04:57:33 PM,
02/01/19 04:58:30 PM,0.0259
02/01/19 04:58:33 PM,
02/01/19 04:59:30 PM,0.0259
02/01/19 04:59:33 PM,
02/01/19 05:00:30 PM,0.0259
02/01/19 05:00:33 PM,
02/01/19 05:01:30 PM,0.0259
02/01/19 05:01:33 PM,
02/01/19 05:02:30 PM,0.0259
02/01/19 05:02:33 PM,
02/01/19 05:03:30 PM,0.0259
02/01/19 05:03:33 PM,
02/01/19 05:04:30 PM,0.0259
02/01/19 05:04:33 PM,
02/01/19 05:05:30 PM,0.0259
02/01/19 05:05:33 PM,
02/01/19 05:06:30 PM,40.148
02/01/19 05:06:33 PM,
02/01/19 05:07:30 PM,37.1542
02/01/19 05:07:33 PM,
02/01/19 05:08:30 PM,37.6013
02/01/19 05:08:33 PM,
02/01/19 05:09:30 PM,38.0041
02/01/19 05:09:33 PM,
02/01/19 05:10:30 PM,37.7462
02/01/19 05:10:33 PM,
02/01/19 05:11:30 PM,37.7005
02/01/19 05:11:33 PM,
02/01/19 05:12:30 PM,37.7295
02/01/19 05:12:33 PM,
02/01/19 05:13:30 PM,37.5128
02/01/19 05:13:33 PM,
02/01/19 05:14:30 PM,37.6287
02/01/19 05:14:33 PM,
02/01/19 05:15:30 PM,37.5311
02/01/19 05:15:33 PM,
02/01/19 05:16:30 PM,37.789
02/01/19 05:16:33 PM,
02/01/19 05:17:30 PM,37.5219
02/01/19 05:17:33 PM,
02/01/19 05:18:30 PM,37.6226
02/01/19 05:18:33 PM,
02/01/19 05:19:30 PM,37.6944
02/01/19 05:19:33 PM,
02/01/19 05:20:30 PM,37.7035
02/01/19 05:20:33 PM,
02/01/19 05:21:30 PM,37.702
02/01/19 05:21:33 PM,
02/01/19 05:22:30 PM,37.821
02/01/19 05:22:33 PM,
02/01/19 05:23:30 PM,37.8759
02/01/19 05:23:33 PM,
02/01/19 05:24:30 PM,37.7096
02/01/19 05:24:33 PM,
02/01/19 05:25:30 PM,37.5204
02/01/19 05:25:33 PM,
02/01/19 05:26:30 PM,37.7035
02/01/19 05:26:33 PM,
02/01/19 05:27:30 PM,37.6043
02/01/19 05:27:33 PM,
02/01/19 05:28:30 PM,37.6898
02/01/19 05:28:33 PM,
02/01/19 05:29:30 PM,37.3037
02/01/19 05:29:33 PM,
02/01/19 05:30:30 PM,37.8058
02/01/19 05:30:33 PM,
02/01/19 05:31:30 PM,37.409
02/01/19 05:31:33 PM,
02/01/19 05:32:30 PM,37.5448
02/01/19 05:32:33 PM,
02/01/19 05:33:30 PM,37.5967
02/01/19 05:33:33 PM,
02/01/19 05:34:30 PM,37.6867
02/01/19 05:34:33 PM,
02/01/19 05:35:30 PM,37.6364
02/01/19 05:35:33 PM,
02/01/19 05:36:30 PM,37.6822
02/01/19 05:36:33 PM,
02/01/19 05:37:30 PM,37.7035
02/01/19 05:37:33 PM,
02/01/19 05:38:30 PM,37.7371
02/01/19 05:38:33 PM,
02/01/19 05:39:30 PM,37.7249
02/01/19 05:39:33 PM,
02/01/19 05:40:30 PM,37.6776
02/01/19 05:40:33 PM,
02/01/19 05:41:30 PM,37.5006
02/01/19 05:41:33 PM,
02/01/19 05:42:30 PM,37.5769
02/01/19 05:42:33 PM,
02/01/19 05:43:30 PM,37.4136
02/01/19 05:43:33 PM,
02/01/19 05:44:30 PM,37.4823
02/01/19 05:44:33 PM,
02/01/19 05:45:30 PM,37.5616
02/01/19 05:45:33 PM,
02/01/19 05:46:30 PM,37.7844
02/01/19 05:46:33 PM,
02/01/19 05:47:30 PM,37.5494
02/01/19 05:47:33 PM,
02/01/19 05:48:30 PM,37.6699
02/01/19 05:48:33 PM,
02/01/19 05:49:30 PM,37.7142
02/01/19 05:49:33 PM,
02/01/19 05:50:30 PM,37.5937
02/01/19 05:50:33 PM,
02/01/19 05:51:30 PM,37.6455
02/01/19 05:51:33 PM,
02/01/19 05:52:30 PM,37.4594
02/01/19 05:52:33 PM,
02/01/19 05:53:30 PM,37.5067
02/01/19 05:53:33 PM,
02/01/19 05:54:30 PM,37.6196
02/01/19 05:54:33 PM,
02/01/19 05:55:30 PM,37.6883
02/01/19 05:55:33 PM,
02/01/19 05:56:30 PM,37.5051
02/01/19 05:56:33 PM,
02/01/19 05:57:30 PM,0.0259
02/01/19 05:57:33 PM,
02/01/19 05:58:30 PM,0.0259
02/01/19 05:58:33 PM,
02/01/19 05:59:30 PM,0.0259
02/01/19 05:59:33 PM,
02/01/19 06:00:30 PM,0.0259
02/01/19 06:00:33 PM,
02/01/19 06:01:30 PM,0.0259
02/01/19 06:01:33 PM,
02/01/19 06:02:30 PM,0.0259
02/01/19 06:02:33 PM,
02/01/19 06:03:30 PM,0.0259
02/01/19 06:03:33 PM,
02/01/19 06:04:30 PM,0.0259
02/01/19 06:04:33 PM,
02/01/19 06:05:30 PM,0.0259
02/01/19 06:05:33 PM,
02/01/19 06:06:30 PM,39.0066
02/01/19 06:06:33 PM,
02/01/19 06:07:30 PM,37.2168
02/01/19 06:07:33 PM,
02/01/19 06:08:30 PM,37.5982
02/01/19 06:08:33 PM,
02/01/19 06:09:30 PM,37.5219
02/01/19 06:09:33 PM,
02/01/19 06:10:30 PM,37.6226
02/01/19 06:10:33 PM,
02/01/19 06:11:30 PM,37.5692
02/01/19 06:11:33 PM,
02/01/19 06:12:30 PM,37.5326
02/01/19 06:12:33 PM,
02/01/19 06:13:30 PM,37.2778
02/01/19 06:13:33 PM,
02/01/19 06:14:30 PM,37.3663
02/01/19 06:14:33 PM,
02/01/19 06:15:30 PM,37.5051
02/01/19 06:15:33 PM,
02/01/19 06:16:30 PM,37.4884
02/01/19 06:16:33 PM,
02/01/19 06:17:30 PM,37.4212
02/01/19 06:17:33 PM,
02/01/19 06:18:30 PM,37.5021
02/01/19 06:18:33 PM,
02/01/19 06:19:30 PM,37.2396
02/01/19 06:19:33 PM,
02/01/19 06:20:30 PM,37.4975
02/01/19 06:20:33 PM,
02/01/19 06:21:30 PM,37.3266
02/01/19 06:21:33 PM,
02/01/19 06:22:30 PM,37.113
02/01/19 06:22:33 PM,
02/01/19 06:23:30 PM,37.3938
02/01/19 06:23:33 PM,
02/01/19 06:24:30 PM,37.4395
02/01/19 06:24:33 PM,
02/01/19 06:25:30 PM,37.258
02/01/19 06:25:33 PM,
02/01/19 06:26:30 PM,37.5158
02/01/19 06:26:33 PM,
02/01/19 06:27:30 PM,37.2656
02/01/19 06:27:33 PM,
02/01/19 06:28:30 PM,37.3419
02/01/19 06:28:33 PM,
02/01/19 06:29:30 PM,37.3007
02/01/19 06:29:33 PM,
02/01/19 06:30:30 PM,37.2641
02/01/19 06:30:33 PM,
02/01/19 06:31:30 PM,37.3556
02/01/19 06:31:33 PM,
02/01/19 06:32:30 PM,37.5235
02/01/19 06:32:33 PM,
02/01/19 06:33:30 PM,37.3281
02/01/19 06:33:33 PM,
02/01/19 06:34:30 PM,37.3327
02/01/19 06:34:33 PM,
02/01/19 06:35:30 PM,37.6226
02/01/19 06:35:33 PM,
02/01/19 06:36:30 PM,37.5448
02/01/19 06:36:33 PM,
02/01/19 06:37:30 PM,37.4121
02/01/19 06:37:33 PM,
02/01/19 06:38:30 PM,37.4853
02/01/19 06:38:33 PM,
