,time,amps
1139,02/01/19 09:37:30 PM,37.3068
1141,02/01/19 09:38:30 PM,37.3266
1143,02/01/19 09:39:30 PM,37.4075
1145,02/01/19 09:40:30 PM,37.321999999999996
1147,02/01/19 09:41:30 PM,37.3754
1149,02/01/19 09:42:30 PM,37.3617
1151,02/01/19 09:43:30 PM,37.3526
1153,02/01/19 09:44:30 PM,37.4365
1155,02/01/19 09:45:30 PM,37.4166
1157,02/01/19 09:46:30 PM,37.1649
1159,02/01/19 09:47:30 PM,37.1038
1161,02/01/19 09:48:30 PM,37.1878
1163,02/01/19 09:49:30 PM,37.1389
1165,02/01/19 09:50:30 PM,37.2091
1167,02/01/19 09:51:30 PM,37.3754
1169,02/01/19 09:52:30 PM,37.2778
1171,02/01/19 09:53:30 PM,37.0291
1173,02/01/19 09:54:30 PM,37.2076
1175,02/01/19 09:55:30 PM,37.3495
1177,02/01/19 09:56:30 PM,37.2656
1179,02/01/19 09:57:30 PM,0.0427
1181,02/01/19 09:58:30 PM,0.028999999999999998
1183,02/01/19 09:59:30 PM,0.028999999999999998
1185,02/01/19 10:00:30 PM,0.0275
1187,02/01/19 10:01:30 PM,0.028999999999999998
1189,02/01/19 10:02:30 PM,0.028999999999999998
1191,02/01/19 10:03:30 PM,0.028999999999999998
1193,02/01/19 10:04:30 PM,0.028999999999999998
1195,02/01/19 10:05:30 PM,0.028999999999999998
1197,02/01/19 10:06:30 PM,38.3658
1199,02/01/19 10:07:30 PM,39.8657
1201,02/01/19 10:08:30 PM,36.9787
1203,02/01/19 10:09:30 PM,37.0504
1205,02/01/19 10:10:30 PM,37.29
1207,02/01/19 10:11:30 PM,37.229
1209,02/01/19 10:12:30 PM,37.2213
1211,02/01/19 10:13:30 PM,37.1862
1213,02/01/19 10:14:30 PM,37.0077
1215,02/01/19 10:15:30 PM,37.0138
1217,02/01/19 10:16:30 PM,37.0733
1219,02/01/19 10:17:30 PM,37.0001
1221,02/01/19 10:18:30 PM,36.8734
1223,02/01/19 10:19:30 PM,36.9253
1225,02/01/19 10:20:30 PM,36.8017
1227,02/01/19 10:21:30 PM,36.8933
1229,02/01/19 10:22:30 PM,36.9223
1231,02/01/19 10:23:30 PM,36.8017
1233,02/01/19 10:24:30 PM,37.1237
1235,02/01/19 10:25:30 PM,37.0031
1237,02/01/19 10:26:30 PM,36.8811
1239,02/01/19 10:27:30 PM,36.8261
